"episode_overall","aired_date","year","season","episode","title","directed_by","written_by","us_viewers_millions"
263,2023-10-22,2023,14,3,"The Pickleorette","Chris Song","Steven Davis",0.78
264,2023-10-29,2023,14,4,"Running Down a Gene","Matthew Long","Holly Schlesinger",0.91
265,2023-11-05,2023,14,5,"Bully-ieve It or Not","Brian Loschiavo","Jon Schroeder",1.56
266,2023-11-12,2023,14,6,"Escape from Which Island?","Chris Song","Rich Rinaldi",1.43
267,2023-11-19,2023,14,7,"The (Raccoon) King and I","Ryan Mattos","Scott Jacobson",0.86
268,2023-11-26,2023,14,8,"Wharf, Me Worry?","Matthew Long","Katie Crown",0.87
269,2023-12-03,2023,14,9,"Fraud of the Dead: Zombie-docu-pocalypse","Brian Loschiavo","Jameel Saleem",1.3
270,2023-12-17,2023,14,10,"The Nightmare 2 Days Before Christmas","Ryan Mattos","Lindsey Stoddart",1.5
271,2024-01-07,2024,14,11,"Mission Impossi-Bob","Chris Song","Steven Davis",0.98
272,2024-03-10,2024,14,12,"Jade in the Shade","Matthew Long","Jon Schroeder",0.79
273,2024-05-19,2024,14,13,"Butt Sweat and Fears","Brian Loschiavo","Holly Schlesinger",0.59
274,2024-09-08,2024,14,14,"The Big Stieblitzki","Ryan Mattos","Scott Jacobson",1.91
275,2024-09-15,2024,14,15,"The Right Tough Stuff","Chris Song","Rich Rinaldi",0.77
276,2024-09-22,2024,14,16,"To Catch a Beef","Matthew Long","Jameel Saleem",0.99
277,2024-09-29,2024,15,1,"The Tina Table: The Tables Have Tina-ed","Bernard Derriman","Greg Thompson",0.72
278,2024-10-06,2024,15,2,"Saving Favorite Drive-In","Brian Loschiavo","Katie Crown",0.75
279,2024-10-20,2024,15,3,"Colon-ly the Dronely","Ryan Mattos","Lindsey Stoddart",1.38
280,2024-10-27,2024,15,4,"For Whom the Doll Toes","Simon Chong","Loren Bouchard",0.71
281,2024-11-03,2024,15,5,"Don't Stop Be-cheesin'","Chris Song","Dan Fybel",1.05
282,2024-11-10,2024,15,6,"Hope N' Mic Night","Simon Chong","Loren Bouchard",0.71
283,2024-11-24,2024,15,7,"Boogie Days","Brian Loschiavo","Jon Schroeder",1.32
284,2024-12-08,2024,15,8,"They Slug Horses, Don't They?","Bernard Derriman","Nora Smith",1.03
285,2024-12-15,2024,15,9,"Dog Christmas Day After Afternoon","Chris Song","Steven Davis",1.16
286,2024-12-29,2024,15,10,"Advice Things Are Ad-Nice","Ryan Mattos","Holly Schlesinger",1.2
287,2025-05-18,2025,15,11,"Mr. Fischoeder's Opus","Brian Loschiavo","Scott Jacobson",0.52
288,2025-05-29,2025,15,12,"Like a Candle in the Gym","Chris Song","Lindsey Stoddart",0.64
289,2025-06-05,2025,15,13,"Snackface","Ryan Mattos","Rich Rinaldi",0.53
290,2025-06-12,2025,15,14,"The Place Beyond the Pinecones","Brian Loschiavo","Katie Crown",0.8
291,2025-06-19,2025,15,15,"The Lost City of Atlantic","Chris Song","Dan Fybel",0.71
292,2025-07-03,2025,15,16,"The Shell Game","Chris Song","Greg Thompson",0.58
293,2025-07-10,2025,15,17,"Wild Steal-ions","Ian Hamilton","Brian Wylie",0.68
294,2025-07-17,2025,15,18,"Don't Worry, Be Hoopy","Ryan Mattos","Lindsey Stoddart",0.6
295,2025-07-31,2025,15,19,"The Dead Bo-ats Society","Ryan Mattos","Jameel Saleem",0.62
296,2025-07-31,2025,15,20,"Dad-urday Kite Fever","Brian Loschiavo","Scott Jacobson",0.51
297,2025-08-07,2025,15,21,"Mr. Safebody","Chris Song","Steven Davis",0.68
298,2025-08-14,2025,15,22,"Insomnibob","Ryan Mattos","Jon Schroeder",0.79
299,2025-09-28,2025,16,1,"Grand Pre-Pre-Pre-Opening","Chris Song","Loren Bouchard & Nora Smith",0.63
300,2025-10-05,2025,16,2,"'Til Death Do Us Art","Brian Loschiavo","Katie Crown",0.9
301,2025-10-19,2025,16,3,"The Twinnening","Ryan Mattos","Kelvin Yu",1.17
302,2025-10-26,2025,16,4,"The Skids in the Hall","Brian Loschiavo","Rich Rinaldi",0.67
303,2025-11-02,2025,16,5,"The Secret Guardin'","Chris Song","Dan Fybel",0.77
304,2025-11-09,2025,16,6,"Get Her to the Zeke","Ryan Mattos","Lizzie Molyneux-Logelin & Wendy Molyneux",1.19
305,2025-11-23,2025,16,7,"Tube for Tina","Brian Loschiavo","Nora Smith & Holly Schlesinger",1.21
306,2025-12-07,2025,16,8,"Les Lizárdables","Ryan Mattos","Steven Davis",NA
307,2025-12-14,2025,16,9,"It's a Stunterful Life","Brian Loschiavo","Lindsey Stoddart",NA
308,2025-12-28,2025,16,10,"Heist Things Are Heist","Chris Song","Scott Jacobson",NA
